RequestorODS,month,"requestor_supplier","registration_count","retry_count","retry_rate"
A82077,07,EMIS,15,8,"0.5333333333333333"
A82077,08,EMIS,14,6,"0.42857142857142855"
A82608,04,EMIS,41,17,"0.4146341463414634"
A82608,05,EMIS,28,6,"0.21428571428571427"
A82608,06,EMIS,19,3,"0.15789473684210525"
A82608,07,EMIS,25,10,"0.4"
A82608,08,EMIS,111,12,"0.10810810810810811"
A82613,04,EMIS,6,1,"0.16666666666666666"
A82613,05,EMIS,12,3,"0.25"
A82613,06,EMIS,16,0,0
A82613,07,EMIS,6,1,"0.16666666666666666"
A82613,08,EMIS,7,1,"0.14285714285714285"
A82617,04,EMIS,24,6,"0.25"
A82617,05,EMIS,14,3,"0.21428571428571427"
A82617,06,EMIS,13,1,"0.07692307692307693"
A82617,07,EMIS,16,6,"0.375"
A82617,08,EMIS,33,6,"0.18181818181818182"
A82620,04,EMIS,7,1,"0.14285714285714285"
A82620,05,EMIS,18,4,"0.2222222222222222"
A82620,06,EMIS,12,4,"0.3333333333333333"
A82620,07,EMIS,14,0,0
A82620,08,EMIS,6,1,"0.16666666666666666"
A82621,04,EMIS,5,0,0
A82621,05,EMIS,10,0,0
A82621,06,EMIS,4,0,0
A82621,07,EMIS,10,2,"0.2"
A82621,08,EMIS,1,0,0
A82623,04,EMIS,26,5,"0.19230769230769232"
A82623,05,EMIS,23,8,"0.34782608695652173"
A82623,06,EMIS,18,2,"0.1111111111111111"
A82623,07,EMIS,20,6,"0.3"
A82623,08,EMIS,18,6,"0.3333333333333333"
A82629,04,EMIS,4,2,"0.5"
A82629,05,EMIS,11,7,"0.6363636363636364"
A82629,06,EMIS,14,8,"0.5714285714285714"
A82629,07,EMIS,12,3,"0.25"
A82629,08,EMIS,9,3,"0.3333333333333333"
A82631,04,EMIS,28,4,"0.14285714285714285"
A82631,05,EMIS,19,4,"0.21052631578947367"
A82631,06,EMIS,22,3,"0.13636363636363635"
A82631,07,EMIS,33,3,"0.09090909090909091"
A82631,08,EMIS,41,7,"0.17073170731707318"
A82646,04,EMIS,11,4,"0.36363636363636365"
A82646,05,EMIS,12,0,0
A82646,06,EMIS,25,5,"0.2"
